num_keywords,exact_match_ratio,synonym_ratio,trials,TP_sum,FP_sum,FN_sum,TN_sum,Accuracy_avg,Precision_avg,Recall_avg,F1_Score_avg,MRR_avg,NDCG_avg
3,0.7,0.3,100,95,405,5,53395,0.9923933209647495,0.19,0.95,0.3166666666666667,0.8109999999999999,0.6340649374319082
3,0.8,0.2,100,91,409,9,53391,0.9922448979591836,0.182,0.91,0.30333333333333334,0.7701666666666667,0.6117839255636252
3,0.9,0.1,100,92,408,8,53392,0.9922820037105751,0.18400000000000002,0.92,0.3066666666666667,0.7568333333333334,0.594005304900775
3,1.0,0.0,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,0.9670000000000001,0.738637536653802
4,0.7,0.3,100,89,411,11,53389,0.9921706864564007,0.17800000000000002,0.89,0.2966666666666667,0.722,0.5775651545132304
4,0.8,0.2,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,0.9408333333333333,0.6997635868406253
4,0.9,0.1,100,98,402,2,53398,0.992504638218924,0.196,0.98,0.3266666666666667,0.9206666666666666,0.7055339925627089
4,1.0,0.0,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,0.995,0.8374232171889243
5,0.7,0.3,100,99,401,1,53399,0.9925417439703154,0.198,0.99,0.33000000000000007,0.9625,0.7386140468999968
5,0.8,0.2,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.8066600562522929
5,0.9,0.1,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,0.98,0.7851370515761448
5,1.0,0.0,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,0.995,0.8494438239082591
6,0.7,0.3,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,0.9816666666666667,0.8176242645544545
6,0.8,0.2,100,99,401,1,53399,0.9925417439703154,0.198,0.99,0.33000000000000007,0.975,0.809059535945218
6,0.9,0.1,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,0.995,0.835320298925036
6,1.0,0.0,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.886984986431916
7,0.7,0.3,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,0.9816666666666667,0.8027375786346
7,0.8,0.2,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.8501964228623234
7,0.9,0.1,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.8906578821281822
7,1.0,0.0,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.8942479302872252
8,0.7,0.3,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,0.995,0.8448226968818493
8,0.8,0.2,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.8631471861474477
8,0.9,0.1,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.9054978632881415
8,1.0,0.0,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.8994257558952852
9,0.7,0.3,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.8573409056443709
9,0.8,0.2,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.8825365380204502
9,0.9,0.1,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.9427786139114699
9,1.0,0.0,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.9180158040543281
10,0.7,0.3,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.9031936296623881
10,0.8,0.2,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.8858122247338173
10,0.9,0.1,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.9375775665459396
10,1.0,0.0,100,100,400,0,53400,0.9925788497217068,0.2,1.0,0.33333333333333337,1.0,0.9263276335450235
