Dataset_Size,Precision,Recall,F1-Score,Accuracy,Processing_Time_sec
991,0.156,0.01575757575757576,0.028623853211009177,0.8930505050505051,0.18060898780822754
990,0.09090909090909091,0.00927643784786642,0.016835016835016835,0.892637190918283,0.1762244701385498
989,0.06262626262626263,0.006390434961863534,0.011597456041900487,0.8919559972191551,0.18125247955322266
988,0.15151515151515152,0.015460729746444033,0.02805836139169473,0.8936477234349575,0.15314197540283203
987,0.06262626262626263,0.006390434961863534,0.011597456041900487,0.8917368410269019,0.17001795768737793
986,0.06666666666666667,0.006802721088435374,0.01234567901234568,0.8917089678510999,0.15418553352355957
985,0.12525252525252525,0.012780869923727067,0.023194912083800975,0.8927896854726123,0.22180962562561035
984,0.09292929292929293,0.00948258091115234,0.017209128320239433,0.8920229764583782,0.17892932891845703
983,0.06262626262626263,0.006390434961863534,0.011597456041900487,0.891295850562653,0.19011735916137695
982,0.09302325581395349,0.00948258091115234,0.017210738003928538,0.8918131364614545,0.19118833541870117
981,0.15454545454545454,0.015769944341372914,0.02861952861952862,0.8929499072356215,0.23830795288085938
980,0.09393939393939393,0.0095856524427953,0.01739618406285073,0.8916024390998855,0.17502570152282715
979,0.12335692618806876,0.012574726860441147,0.022822935179122626,0.8921009687880853,0.13679051399230957
978,0.15454545454545454,0.015769944341372914,0.02861952861952862,0.8926211966130083,0.11440491676330566
977,0.15454545454545454,0.015769944341372914,0.02861952861952862,0.892511177347243,0.2169513702392578
976,0.12424242424242424,0.012677798392084107,0.023007856341189674,0.8917793317793318,0.17095088958740234
975,0.09090909090909091,0.00927643784786642,0.016835016835016835,0.8909837595669218,0.20211458206176758
974,0.12121212121212122,0.012368583797155226,0.022446689113355782,0.8914945965305677,0.14759349822998047
973,0.15454545454545454,0.015769944341372914,0.02861952861952862,0.892068836513281,0.1269683837890625
972,0.12121212121212122,0.012368583797155226,0.022446689113355782,0.8912711044533908,0.11302590370178223
971,0.06428571428571428,0.0066273932253313695,0.012016021361815753,0.8910162002945509,0.14241433143615723
970,0.09387755102040816,0.009678098043341047,0.017547205798207132,0.8915145005370569,0.17495107650756836
969,0.15219611848825332,0.015674310961498,0.028421554601812112,0.8926146905043009,0.10951614379882812
968,0.09387755102040816,0.009678098043341047,0.017547205798207132,0.8912901251503704,0.14270520210266113
967,0.036734693877551024,0.003787081843046497,0.006866297921037574,0.889994507119618,0.15829968452453613
966,0.12257405515832483,0.012623606143488323,0.0228898426323319,0.8916675478481548,0.1295185089111328
965,0.12257405515832483,0.012623606143488323,0.0228898426323319,0.8915551697857567,0.17254090309143066
964,0.09295199182839632,0.009572901325478646,0.017358130662851693,0.890827982283256,0.20716094970703125
963,0.12142857142857143,0.012518409425625921,0.022696929238985315,0.8912978912978913,0.24052858352661133
962,0.09387755102040816,0.009678098043341047,0.017547205798207132,0.8906113954426724,0.18019890785217285
961,0.09295199182839632,0.009572901325478646,0.017358130662851693,0.8904868197278911,0.12467646598815918
960,0.12142857142857143,0.012518409425625921,0.022696929238985315,0.8909578429912111,0.158341646194458
959,0.09387755102040816,0.009678098043341047,0.017547205798207132,0.8902688424012611,0.2075362205505371
958,0.09499489274770173,0.00978329476120345,0.017739628040057225,0.8901861685112916,0.22866559028625488
957,0.12257405515832483,0.012623606143488323,0.0228898426323319,0.890647681666809,0.20174765586853027
956,0.1217750257997936,0.012671821305841924,0.02295496547028499,0.8915636638419604,0.12652254104614258
955,0.15376676986584106,0.01600085910652921,0.028985507246376812,0.892119993948432,0.14842700958251953
954,0.20536635706914344,0.021370274914089347,0.038712187530395875,0.8930885645979598,0.20629596710205078
953,0.09391124871001032,0.00977233676975945,0.017702558116914693,0.8906371827081349,0.13306498527526855
952,0.09391124871001032,0.00977233676975945,0.017702558116914693,0.8905221850033064,0.1573188304901123
951,0.14963880288957687,0.015571305841924399,0.028207372823655288,0.891578947368421,0.19124746322631836
950,0.12200208550573514,0.012828947368421053,0.0232165889473162,0.8919366877414823,0.18254542350769043
949,0.11991657977059438,0.012609649122807017,0.022819724178986006,0.8917787447257384,0.14099383354187012
948,0.11795407098121086,0.012390350877192983,0.022425084342131377,0.8916314677930306,0.1117243766784668
947,0.20250521920668058,0.021271929824561404,0.03849970232188926,0.8933007399577167,0.12140059471130371
